city_id,period_start,wait_time,treat,commute,trips_pool,trips_express_pool,rider_cancellations,total_driver_payout,total_matches,total_double_matches,total_rides,cost_per_trip
Boston,2/19/18 7:00,2 mins,FALSE,TRUE,1415,3245,256,34458.41163,3372,1476,4660,7.394508934
Boston,2/19/18 9:40,5 mins,TRUE,FALSE,1461,2363,203,29764.34982,2288,1275,3824,7.783564284
Boston,2/19/18 12:20,2 mins,FALSE,FALSE,1362,2184,118,27437.36736,2283,962,3546,7.737554248
Boston,2/19/18 15:00,5 mins,TRUE,TRUE,1984,3584,355,44995.45299,4035,2021,5568,8.08107992
Boston,2/19/18 17:40,2 mins,FALSE,FALSE,1371,2580,181,27583.9553,2200,979,3951,6.98151235
Boston,2/19/18 20:20,5 mins,TRUE,FALSE,1401,2022,135,23888.11085,2066,1062,3423,6.978706061
Boston,2/19/18 23:00,2 mins,FALSE,FALSE,1216,2543,103,29642.90567,2600,1406,3759,7.885848808
Boston,2/20/18 1:40,5 mins,TRUE,FALSE,1691,2018,150,25794.86992,1918,1281,3709,6.954669701
Boston,2/20/18 4:20,2 mins,FALSE,FALSE,1248,2481,131,23238.94629,2623,1059,3729,6.231951271
Boston,2/20/18 7:00,5 mins,TRUE,TRUE,1815,2539,284,34047.4739,2624,1565,4354,7.819814859
Boston,2/20/18 9:40,2 mins,FALSE,FALSE,1594,2773,166,28053.3648,2723,855,4367,6.42394431
Boston,2/20/18 12:20,5 mins,TRUE,FALSE,1629,2380,185,25964.4189,2477,1322,4009,6.476532528
Boston,2/20/18 15:00,2 mins,FALSE,TRUE,1640,3290,236,39912.40151,3777,1969,4930,8.095821808
Boston,2/20/18 17:40,5 mins,TRUE,FALSE,1173,1891,144,22029.73431,1893,998,3064,7.189861068
Boston,2/20/18 20:20,2 mins,FALSE,FALSE,1853,2305,159,33299.09273,2234,1145,4158,8.008439809
Boston,2/20/18 23:00,5 mins,TRUE,FALSE,1145,2419,182,25062.18271,2214,1104,3564,7.032037797
Boston,2/21/18 1:40,2 mins,FALSE,FALSE,1490,1949,125,25419.06091,1904,1120,3439,7.39141056
Boston,2/21/18 4:20,5 mins,TRUE,FALSE,1560,2309,180,25104.44488,2125,990,3869,6.488613307
Boston,2/21/18 7:00,2 mins,FALSE,TRUE,1916,3469,245,44871.10585,3575,1809,5385,8.332610185
Boston,2/21/18 9:40,5 mins,TRUE,FALSE,1664,2320,183,27626.13599,2344,1309,3984,6.934271082
Boston,2/21/18 12:20,2 mins,FALSE,FALSE,1039,3188,168,29259.93547,3045,1607,4227,6.922151756
Boston,2/21/18 15:00,5 mins,TRUE,TRUE,1741,3392,290,40452.01856,4116,1690,5133,7.880775094
Boston,2/21/18 17:40,2 mins,FALSE,FALSE,1596,2256,151,30605.27649,2280,1480,3852,7.945295039
Boston,2/21/18 20:20,5 mins,TRUE,FALSE,1408,1638,155,23986.18199,1746,754,3046,7.874649373
Boston,2/21/18 23:00,2 mins,FALSE,FALSE,1248,2561,165,27110.77443,2213,1329,3809,7.117556952
Boston,2/22/18 1:40,5 mins,TRUE,FALSE,1304,2121,157,22830.55007,2188,728,3425,6.665854035
Boston,2/22/18 4:20,2 mins,FALSE,FALSE,1268,2198,118,24991.3927,2015,1099,3466,7.210442209
Boston,2/22/18 7:00,5 mins,TRUE,TRUE,1498,2377,275,28585.28309,2656,1442,3875,7.376847249
Boston,2/22/18 9:40,2 mins,FALSE,FALSE,1519,2060,145,25858.74863,2117,836,3579,7.225132336
Boston,2/22/18 12:20,5 mins,TRUE,FALSE,1744,2276,172,27385.13257,2171,1481,4020,6.812222032
Boston,2/22/18 15:00,2 mins,FALSE,TRUE,1502,4507,350,48600.42196,5005,2533,6009,8.08793842
Boston,2/22/18 17:40,5 mins,TRUE,FALSE,1555,2229,156,24975.69964,2085,1488,3784,6.600343456
Boston,2/22/18 20:20,2 mins,FALSE,FALSE,1620,2243,160,28000.42303,2154,959,3863,7.248362162
Boston,2/22/18 23:00,5 mins,TRUE,FALSE,1021,2540,183,25506.89668,2362,1276,3561,7.162846582
Boston,2/23/18 1:40,2 mins,FALSE,FALSE,987,2015,129,23769.41076,1935,742,3002,7.917858349
Boston,2/23/18 4:20,5 mins,TRUE,FALSE,1324,2054,147,21882.91896,2148,1141,3378,6.478069555
Boston,2/23/18 7:00,2 mins,FALSE,TRUE,1178,3591,228,34077.77011,3816,1619,4769,7.145684654
Boston,2/23/18 9:40,5 mins,TRUE,FALSE,1253,2479,175,26375.09939,2592,1555,3732,7.067282794
Boston,2/23/18 12:20,2 mins,FALSE,FALSE,1640,2664,183,34025.03103,2597,1348,4304,7.905444012
Boston,2/23/18 15:00,5 mins,TRUE,TRUE,1177,3946,333,37418.68796,4203,2739,5123,7.304057771
Boston,2/23/18 17:40,2 mins,FALSE,FALSE,1364,2397,175,24965.47298,2433,981,3761,6.637988031
Boston,2/23/18 20:20,5 mins,TRUE,FALSE,1635,1988,162,28523.28317,1745,1389,3623,7.872835542
Boston,2/23/18 23:00,2 mins,FALSE,FALSE,1371,2467,140,30717.88433,2740,1132,3838,8.003617595
Boston,2/24/18 1:40,5 mins,TRUE,FALSE,1346,2296,174,23742.41508,2279,1065,3642,6.519059604
Boston,2/24/18 4:20,2 mins,FALSE,FALSE,771,2515,95,23565.36279,2616,1352,3286,7.171443333
Boston,2/24/18 7:00,5 mins,TRUE,FALSE,1283,2141,161,20430.22064,2238,996,3424,5.966770047
Boston,2/24/18 9:40,2 mins,FALSE,FALSE,1273,2620,165,29641.43504,2612,1104,3893,7.614034174
Boston,2/24/18 12:20,5 mins,TRUE,FALSE,1598,2565,183,32106.15363,2472,1338,4163,7.712263663
Boston,2/24/18 15:00,2 mins,FALSE,FALSE,1409,2434,132,25026.81798,2571,1257,3843,6.51231277
Boston,2/24/18 17:40,5 mins,TRUE,FALSE,1593,2582,180,27320.54858,2365,1291,4175,6.543843971
Boston,2/24/18 20:20,2 mins,FALSE,FALSE,1201,2666,185,26725.51781,2971,1541,3867,6.911176057
Boston,2/24/18 23:00,5 mins,TRUE,FALSE,930,2437,139,21754.24537,2352,1185,3367,6.461017337
Boston,2/25/18 1:40,2 mins,FALSE,FALSE,1064,2500,101,22153.18878,2735,1288,3564,6.215821768
Boston,2/25/18 4:20,5 mins,TRUE,FALSE,1005,2140,154,22076.63524,2299,1250,3145,7.019597852
Boston,2/25/18 7:00,2 mins,FALSE,FALSE,1745,2496,159,28170.19987,2510,1022,4241,6.642348472
Boston,2/25/18 9:40,5 mins,TRUE,FALSE,1514,3062,194,31142.50598,3120,1662,4576,6.805617565
Boston,2/25/18 12:20,2 mins,FALSE,FALSE,1259,2457,126,28525.79247,2304,1106,3716,7.67647806
Boston,2/25/18 15:00,5 mins,TRUE,FALSE,1587,1914,157,23986.5572,1924,1300,3501,6.851344531
Boston,2/25/18 17:40,2 mins,FALSE,FALSE,1311,2736,176,31276.06005,2905,1683,4047,7.728208561
Boston,2/25/18 20:20,5 mins,TRUE,FALSE,1422,2244,154,25226.17512,2222,1114,3666,6.881117055
Boston,2/25/18 23:00,2 mins,FALSE,FALSE,1259,3292,168,31725.50288,3209,1857,4551,6.971105885
Boston,2/26/18 1:40,5 mins,TRUE,FALSE,1435,1996,173,24969.84044,1871,1157,3431,7.277715082
Boston,2/26/18 4:20,2 mins,FALSE,FALSE,1401,2371,146,26992.54936,2365,814,3772,7.156031115
Boston,2/26/18 7:00,5 mins,TRUE,TRUE,1739,2762,289,38010.24558,3112,1391,4501,8.444844609
Boston,2/26/18 9:40,2 mins,FALSE,FALSE,1251,2234,128,25681.25892,2167,1198,3485,7.36908434
Boston,2/26/18 12:20,5 mins,TRUE,FALSE,1414,2515,194,28686.20779,2457,1482,3929,7.301147312
Boston,2/26/18 15:00,2 mins,FALSE,TRUE,1474,2905,197,33547.232,2810,1049,4379,7.66093446
Boston,2/26/18 17:40,5 mins,TRUE,FALSE,1499,2928,218,23572.37841,2972,1814,4427,5.324684529
Boston,2/26/18 20:20,2 mins,FALSE,FALSE,1548,2225,166,25184.89616,2422,1236,3773,6.675032113
Boston,2/26/18 23:00,5 mins,TRUE,FALSE,1923,2525,190,29670.23477,2747,1417,4448,6.67046645
Boston,2/27/18 1:40,2 mins,FALSE,FALSE,1005,2608,160,26605.24984,2727,1177,3613,7.363755837
Boston,2/27/18 4:20,5 mins,TRUE,FALSE,1412,1867,164,19163.20513,1588,1420,3279,5.844222365
Boston,2/27/18 7:00,2 mins,FALSE,TRUE,1473,3800,279,41714.53638,4060,2034,5273,7.910968401
Boston,2/27/18 9:40,5 mins,TRUE,FALSE,1364,2055,188,22526.40805,2083,1196,3419,6.588595511
Boston,2/27/18 12:20,2 mins,FALSE,FALSE,1121,2280,103,23695.53998,2232,949,3401,6.96722728
Boston,2/27/18 15:00,5 mins,TRUE,TRUE,1249,3638,289,32674.1446,3842,1686,4887,6.685930961
Boston,2/27/18 17:40,2 mins,FALSE,FALSE,990,2668,121,24063.36707,2541,1055,3658,6.578285147
Boston,2/27/18 20:20,5 mins,TRUE,FALSE,1473,2243,170,25668.42636,2306,1229,3716,6.907542077
Boston,2/27/18 23:00,2 mins,FALSE,FALSE,1674,1932,173,27881.70206,1885,1211,3606,7.732030521
Boston,2/28/18 1:40,5 mins,TRUE,FALSE,829,2419,173,18769.99299,2183,1657,3248,5.778938728
Boston,2/28/18 4:20,2 mins,FALSE,FALSE,1053,2273,141,22713.79857,2224,1397,3326,6.829163732
Boston,2/28/18 7:00,5 mins,TRUE,TRUE,1385,3043,307,34278.22001,3439,1985,4428,7.741242097
Boston,2/28/18 9:40,2 mins,FALSE,FALSE,1481,2742,166,30141.75831,2686,1321,4223,7.137522688
Boston,2/28/18 12:20,5 mins,TRUE,FALSE,1174,2137,157,26216.06369,2201,1032,3311,7.917868828
Boston,2/28/18 15:00,2 mins,FALSE,TRUE,1716,3851,289,44887.99419,4229,2001,5567,8.063228702
Boston,2/28/18 17:40,5 mins,TRUE,FALSE,1419,2534,163,28329.32604,2495,988,3953,7.166538337
Boston,2/28/18 20:20,2 mins,FALSE,FALSE,1529,2604,159,30528.60063,2545,1237,4133,7.386547454
Boston,2/28/18 23:00,5 mins,TRUE,FALSE,1557,1915,154,24718.48252,1806,1419,3472,7.119378605
Boston,3/1/18 1:40,2 mins,FALSE,FALSE,1075,2500,168,24732.10545,2606,1274,3575,6.918071455
Boston,3/1/18 4:20,5 mins,TRUE,FALSE,1099,2517,144,25928.74359,2327,1637,3616,7.170559622
Boston,3/1/18 7:00,2 mins,FALSE,TRUE,1482,3217,185,38605.55351,3404,1864,4699,8.215695575
Boston,3/1/18 9:40,5 mins,TRUE,FALSE,1875,2361,207,31795.24409,2269,1227,4236,7.505959417
Boston,3/1/18 12:20,2 mins,FALSE,FALSE,1377,2953,156,30318.05978,2561,1854,4330,7.001861381
Boston,3/1/18 15:00,5 mins,TRUE,TRUE,1742,3349,320,34639.933,3240,1858,5091,6.80415105
Boston,3/1/18 17:40,2 mins,FALSE,FALSE,1957,2524,200,32913.80668,2689,1044,4481,7.345192297
Boston,3/1/18 20:20,5 mins,TRUE,FALSE,1492,2437,162,27966.57977,2367,1429,3929,7.11798925
Boston,3/1/18 23:00,2 mins,FALSE,FALSE,1202,1949,121,25286.39902,2050,735,3151,8.024880678
Boston,3/2/18 1:40,5 mins,TRUE,FALSE,1292,1961,171,20078.31204,2174,1284,3253,6.172244708
Boston,3/2/18 4:20,2 mins,FALSE,FALSE,1270,1845,133,23459.26955,2028,1000,3115,7.531065667
Boston,3/2/18 7:00,5 mins,TRUE,TRUE,1069,3212,290,32340.82341,3477,1701,4281,7.554502082
Boston,3/2/18 9:40,2 mins,FALSE,FALSE,1293,2235,139,28041.72844,2288,1031,3528,7.948335725
Boston,3/2/18 12:20,5 mins,TRUE,FALSE,1782,2090,152,26964.73431,2021,1420,3872,6.964032622
Boston,3/2/18 15:00,2 mins,FALSE,TRUE,1389,3400,204,34568.79897,3845,1589,4789,7.218375229
Boston,3/2/18 17:40,5 mins,TRUE,FALSE,1425,2459,170,24389.90731,2513,1233,3884,6.279584785
Boston,3/2/18 20:20,2 mins,FALSE,FALSE,1390,2091,174,25019.77164,1928,1119,3481,7.187524171
Boston,3/2/18 23:00,5 mins,TRUE,FALSE,2241,2031,197,29304.25327,1962,1133,4272,6.859609849
Boston,3/3/18 1:40,2 mins,FALSE,FALSE,1414,2287,151,31954.64733,2003,1315,3701,8.634057641
Boston,3/3/18 4:20,5 mins,TRUE,FALSE,1355,2501,180,31204.87534,2432,1405,3856,8.09255066
Boston,3/3/18 7:00,2 mins,FALSE,FALSE,1348,2471,145,28158.73822,2075,1464,3819,7.373327631
Boston,3/3/18 9:40,5 mins,TRUE,FALSE,1710,2732,169,28075.72821,2921,1698,4442,6.320515131
Boston,3/3/18 12:20,2 mins,FALSE,FALSE,1165,2453,193,23013.78402,2361,820,3618,6.360913217
Boston,3/3/18 15:00,5 mins,TRUE,FALSE,1630,2081,159,26807.73668,1980,978,3711,7.223857902
Boston,3/3/18 17:40,2 mins,FALSE,FALSE,1302,3110,170,29810.32696,3080,1838,4412,6.756647089
Boston,3/3/18 20:20,5 mins,TRUE,FALSE,1324,2158,125,27884.23253,2208,1373,3482,8.008108137
Boston,3/3/18 23:00,2 mins,FALSE,FALSE,1103,2403,136,23997.49041,2498,1032,3506,6.844692073
Boston,3/4/18 1:40,5 mins,TRUE,FALSE,1087,2225,145,22757.18173,2267,1055,3312,6.871129749
Boston,3/4/18 4:20,2 mins,FALSE,FALSE,1156,2254,132,31600.01314,2177,1304,3410,9.266866024
Boston,3/4/18 7:00,5 mins,TRUE,FALSE,1515,2059,129,22995.159,1828,1063,3574,6.434012032
Boston,3/4/18 9:40,2 mins,FALSE,FALSE,1151,2793,193,29426.90959,2732,1752,3944,7.461183974
Boston,3/4/18 12:20,5 mins,TRUE,FALSE,1818,1970,204,24339.58356,1974,1510,3788,6.425444446
Boston,3/4/18 15:00,2 mins,FALSE,FALSE,1393,2301,161,28015.25761,2179,882,3694,7.583989606
Boston,3/4/18 17:40,5 mins,TRUE,FALSE,1718,2655,173,28288.52115,2600,1361,4373,6.468904905
Boston,3/4/18 20:20,2 mins,FALSE,FALSE,1303,2334,158,27072.60635,2164,940,3637,7.443664106
Boston,3/4/18 23:00,5 mins,TRUE,FALSE,1157,2359,154,23525.11595,2323,1473,3516,6.690874844
Boston,3/5/18 1:40,2 mins,FALSE,FALSE,1170,2240,131,23005.27027,2257,900,3410,6.746413569
Boston,3/5/18 4:20,5 mins,TRUE,FALSE,1360,2421,196,26017.52602,2361,1015,3781,6.881122989